model,evaluation,roc_auc,pr_auc,pr_auc_std,pr_auc_lift,precision,recall,f1,brier,precision_at_top_1pct,recall_at_top_1pct,threshold,n_features,n_train_rows,subsampled,training_time_seconds
lightgbm,cv_random_control,0.965724,0.851224,0.004436,24.227085,0.899002,0.742756,0.813405,0.010343,0.997460,0.283933,0.508700,530.000000,377946,False,998.100000
lightgbm_tuned,cv_temporal_mean,0.896702,0.575401,0.023924,15.907696,0.668383,0.486220,0.561649,0.022720,0.923761,0.255095,0.213550,530.000000,372880,False,2960.600000
lightgbm,cv_temporal_mean,0.883804,0.558308,0.022470,15.451364,0.676574,0.469249,0.553316,0.023633,0.926811,0.255789,0.255702,530.000000,372880,False,638.900000
lightgbm,holdout_final,0.911741,0.563901,,16.388088,0.596636,0.532480,0.562736,0.020377,0.900931,0.261811,0.307018,530.000000,472432,False,851.600000
lightgbm,validation_last_fold,0.917197,0.606894,,15.828485,0.662343,0.558132,0.605788,0.021088,0.908513,0.236833,0.307018,,372880,False,
