model,evaluation,roc_auc,pr_auc,pr_auc_std,pr_auc_lift,precision,recall,f1,brier,precision_at_top_1pct,recall_at_top_1pct,threshold,n_features,n_train_rows,subsampled,training_time_seconds
lightgbm,holdout_final,0.899920,0.553771,,16.093706,0.572334,0.533465,0.552216,0.021019,0.909399,0.264272,0.298780,547.000000,472432,False,234.700000
lightgbm,validation_last_fold,0.899631,0.576219,,15.028465,0.673469,0.513746,0.582864,0.022111,0.912325,0.237827,0.298780,,372880,False,
