feature,psi,ks_statistic,ks_p_value,reference_missing_rate,current_missing_rate,missing_rate_delta,verdict
id_09,0.000829,0.00668,0.99257073,0.871317,0.85565,-0.015667,stable
V123,0.000798,0.004595,0.54935967,0.0002,0.0,-0.0002,stable
V17,0.000781,0.12339,0.0,0.140717,0.024833,-0.115883,stable
V310,0.000779,0.007917,0.04630135,0.0,0.0,0.0,stable
V233,0.000769,0.012186,0.23372131,0.768267,0.751467,-0.0168,stable
V112,0.000766,0.002116,0.99926827,0.0002,0.0,-0.0002,stable
V118,0.000764,0.001266,1.0,0.0002,0.0,-0.0002,stable
V279,0.000746,0.01465,5.06e-06,0.0,0.0,0.0,stable
V122,0.000745,0.001333,1.0,0.0002,0.0,-0.0002,stable
V201,0.00074,0.013288,0.13206374,0.755217,0.7325,-0.022717,stable
V121,0.000739,0.001982,0.99977993,0.0002,0.0,-0.0002,stable
V7,0.00072,0.006542,0.47282731,0.518733,0.345967,-0.172767,stable
V306,0.000713,0.01465,5.06e-06,0.0,0.0,0.0,stable
V158,0.000705,0.006217,0.99462345,0.851767,0.849867,-0.0019,stable
V131,0.000691,0.00977,0.00647704,0.0002,0.0,-0.0002,stable
V255,0.000691,0.041944,0.0,0.751833,0.731717,-0.020117,stable
V35,0.000689,0.022871,0.0,0.2956,0.152217,-0.143383,stable
V283,0.000689,0.026419,0.0,0.002133,0.011833,0.0097,stable
V38,0.000678,0.007699,0.12888047,0.2956,0.152217,-0.143383,stable
entity_card_full_txn_count_1h,0.000672,0.007167,0.09131823,0.0,0.0,0.0,stable
entity_card_addr_txn_count_1h,0.00067,0.007117,0.09531826,0.0,0.0,0.0,stable
V302,0.000661,0.023367,0.0,0.0,0.0,0.0,stable
V69,0.000633,0.051563,0.0,0.1423,0.025183,-0.117117,stable
V322,0.000616,0.006525,0.98987449,0.851167,0.84845,-0.002717,stable
V57,0.000598,0.008967,0.02436157,0.1423,0.025183,-0.117117,stable
V111,0.000594,0.001333,1.0,0.0002,0.0,-0.0002,stable
V294,0.000583,0.011717,0.00052523,0.0,0.0,0.0,stable
V87,0.000582,0.006384,0.2201106,0.16495,0.02395,-0.141,stable
V113,0.000581,0.001499,0.99999988,0.0002,0.0,-0.0002,stable
V170,0.00057,0.013394,0.12645406,0.755217,0.7325,-0.022717,stable
V285,0.000562,0.007917,0.04630135,0.0,0.0,0.0,stable
V24,0.00056,0.005265,0.43172596,0.140717,0.024833,-0.115883,stable
V232,0.000553,0.011621,0.28346194,0.768267,0.751467,-0.0168,stable
V126,0.000542,0.007941,0.04527385,0.0002,0.0,-0.0002,stable
V153,0.000483,0.002007,1.0,0.851767,0.849867,-0.0019,stable
V25,0.000471,0.027668,0.0,0.140717,0.024833,-0.115883,stable
V74,0.000464,0.028272,0.0,0.1423,0.025183,-0.117117,stable
V21,0.000463,0.118427,0.0,0.140717,0.024833,-0.115883,stable
V2,0.000461,0.00411,0.94023332,0.518733,0.345967,-0.172767,stable
V52,0.000444,0.015484,3.084e-05,0.2956,0.152217,-0.143383,stable
V13,0.000425,0.01496,9.31e-06,0.140717,0.024833,-0.115883,stable
V54,0.000382,0.028783,0.0,0.1423,0.025183,-0.117117,stable
V155,0.000371,0.002308,1.0,0.851767,0.849867,-0.0019,stable
V47,0.000371,0.003508,0.93795779,0.2956,0.152217,-0.143383,stable
V209,0.000361,0.018227,0.01209523,0.755217,0.7325,-0.022717,stable
V120,0.00036,0.00075,1.0,0.0002,0.0,-0.0002,stable
V46,0.000346,0.002669,0.99645866,0.2956,0.152217,-0.143383,stable
V282,0.000336,0.02639,0.0,0.002133,0.011833,0.0097,stable
V31,0.000336,0.110479,0.0,0.140717,0.024833,-0.115883,stable
V139,0.000323,0.006501,0.99066502,0.851767,0.849867,-0.0019,stable
V117,0.000319,0.00055,1.0,0.0002,0.0,-0.0002,stable
V195,0.000293,0.013288,0.13206374,0.755217,0.7325,-0.022717,stable
V73,0.000289,0.016187,1.16e-06,0.1423,0.025183,-0.117117,stable
V95,0.000288,0.007941,0.04527385,0.0002,0.0,-0.0002,stable
V156,0.000276,0.003084,1.0,0.851767,0.849867,-0.0019,stable
V75,0.000271,0.010478,0.00528621,0.16495,0.02395,-0.141,stable
V312,0.000252,0.009617,0.00773381,0.0,0.0,0.0,stable
V221,0.000237,0.041944,0.0,0.751833,0.731717,-0.020117,stable
V19,0.000218,0.0469,0.0,0.140717,0.024833,-0.115883,stable
V154,0.000208,0.002091,1.0,0.851767,0.849867,-0.0019,stable
V261,0.000208,0.003825,0.99992827,0.768267,0.751467,-0.0168,stable
V288,0.000199,0.001686,0.99999556,0.002133,0.011833,0.0097,stable
V268,0.000197,0.007793,0.77161695,0.768267,0.751467,-0.0168,stable
V33,0.000189,0.021389,0.0,0.140717,0.024833,-0.115883,stable
V37,0.000185,0.003355,0.95658618,0.2956,0.152217,-0.143383,stable
V6,0.000183,0.002614,0.99984452,0.518733,0.345967,-0.172767,stable
V291,0.000165,0.0082,0.03519837,0.0,0.0,0.0,stable
V197,0.000164,0.013394,0.12645406,0.755217,0.7325,-0.022717,stable
V9,0.000162,0.002347,0.99998681,0.518733,0.345967,-0.172767,stable
D13,0.00016,0.007102,0.98098279,0.898467,0.758433,-0.140033,stable
V251,0.000155,0.042056,0.0,0.751833,0.731717,-0.020117,stable
V76,0.000154,0.001729,0.99999775,0.16495,0.02395,-0.141,stable
V198,0.000154,0.013288,0.13206374,0.755217,0.7325,-0.022717,stable
V315,0.000153,0.006013,0.23070016,0.002133,0.011833,0.0097,stable
V140,0.000147,0.004172,0.99999826,0.851767,0.849867,-0.0019,stable
V51,0.000122,0.008254,0.08561794,0.2956,0.152217,-0.143383,stable
V211,0.000108,0.00771,0.74857777,0.755433,0.731817,-0.023617,stable
V260,0.000106,0.001778,1.0,0.768267,0.751467,-0.0168,stable
V313,0.000104,0.005944,0.24235963,0.002133,0.011833,0.0097,stable
V29,0.000101,0.052046,0.0,0.140717,0.024833,-0.115883,stable
V314,8.2e-05,0.007458,0.07237789,0.002133,0.011833,0.0097,stable
V34,7.6e-05,0.029377,0.0,0.140717,0.024833,-0.115883,stable
V5,7.6e-05,0.009138,0.12353931,0.518733,0.345967,-0.172767,stable
V262,6e-05,0.001895,1.0,0.768267,0.751467,-0.0168,stable
V62,5.6e-05,0.042,0.0,0.1423,0.025183,-0.117117,stable
V267,5.5e-05,0.008547,0.66599775,0.768267,0.751467,-0.0168,stable
V256,5.1e-05,0.042056,0.0,0.751833,0.731717,-0.020117,stable
V212,5e-05,0.012443,0.18404463,0.755433,0.731817,-0.023617,stable
V61,5e-05,0.048467,0.0,0.1423,0.025183,-0.117117,stable
id_03,4.7e-05,0.003015,1.0,0.8876,0.871417,-0.016183,stable
V289,4.6e-05,0.001842,0.99995777,0.002133,0.011833,0.0097,stable
V83,4.4e-05,0.015829,2.63e-06,0.16495,0.02395,-0.141,stable
V53,4e-05,0.044332,0.0,0.1423,0.025183,-0.117117,stable
V188,3.7e-05,0.013394,0.12645406,0.755217,0.7325,-0.022717,stable
entity_card_full_amt_sum_1h,3.2e-05,0.004317,0.62947649,0.0,0.0,0.0,stable
V26,3.2e-05,0.025499,0.0,0.140717,0.024833,-0.115883,stable
entity_card_addr_amt_sum_1h,3.2e-05,0.0045,0.57636376,0.0,0.0,0.0,stable
V273,2.6e-05,0.009485,0.53365425,0.768267,0.751467,-0.0168,stable
V8,2.2e-05,0.00067,1.0,0.518733,0.345967,-0.172767,stable
V245,2e-05,0.041944,0.0,0.751833,0.731717,-0.020117,stable
addr2,1.9e-05,0.001981,0.9999425,0.111167,0.125683,0.014517,stable
V274,1.8e-05,0.008853,0.62222624,0.768267,0.751467,-0.0168,stable
V213,1.7e-05,0.009717,0.46047494,0.755433,0.731817,-0.023617,stable
V275,1.4e-05,0.008976,0.60479889,0.768267,0.751467,-0.0168,stable
V4,1.2e-05,0.011228,0.02993472,0.518733,0.345967,-0.172767,stable
V12,1.1e-05,0.027113,0.0,0.140717,0.024833,-0.115883,stable
V45,1.1e-05,0.003504,0.93838872,0.2956,0.152217,-0.143383,stable
V259,5e-06,0.041944,0.0,0.751833,0.731717,-0.020117,stable
V82,4e-06,0.020195,0.0,0.16495,0.02395,-0.141,stable
V44,3e-06,0.002078,0.99996362,0.2956,0.152217,-0.143383,stable
V36,1e-06,0.012492,0.00147469,0.2956,0.152217,-0.143383,stable
V200,1e-06,0.013394,0.12645406,0.755217,0.7325,-0.022717,stable
V250,1e-06,0.041944,0.0,0.751833,0.731717,-0.020117,stable
V10,1e-06,0.016545,0.00021928,0.518733,0.345967,-0.172767,stable
V11,1e-06,0.016007,0.00039273,0.518733,0.345967,-0.172767,stable
V194,0.0,0.013394,0.12645406,0.755217,0.7325,-0.022717,stable
V15,0.0,0.013622,7.584e-05,0.140717,0.024833,-0.115883,stable
V16,0.0,0.013636,7.419e-05,0.140717,0.024833,-0.115883,stable
V305,0.0,0.0,1.0,0.0,0.0,0.0,stable
